iter	Accuracy	MultiClass
542	0.5775793198	1.811832723
543	0.5775793198	1.811304764
544	0.5776078521	1.810963826
545	0.5777790459	1.810480225
546	0.5778075782	1.810237255
547	0.5781784981	1.809862546
548	0.5781784981	1.809360556
549	0.578264095	1.808805513
550	0.578264095	1.808432476
551	0.5783496919	1.808096441
552	0.5784352887	1.80754073
553	0.5786635471	1.807093352
554	0.5786635471	1.806645975
555	0.5787776763	1.806134623
556	0.5788062086	1.805940135
557	0.5789774024	1.805245663
558	0.5789774024	1.804974718
559	0.5791485962	1.804475848
560	0.5791485962	1.803943431
561	0.5792627254	1.803545762
562	0.5788632732	1.803170607
563	0.5789488701	1.802841817
564	0.579034467	1.802525733
565	0.5793483223	1.802131519
566	0.5793768546	1.801748673
567	0.5792627254	1.801380986
568	0.5794053869	1.800921237
569	0.5794624515	1.800567146
570	0.5794909838	1.800323173
571	0.5794624515	1.800080871
572	0.5796621776	1.799755759
573	0.5798048391	1.799406573
574	0.579890436	1.799232816
575	0.5798333714	1.798993077
576	0.5799760329	1.798604436
577	0.5800330975	1.798262829
578	0.5800901621	1.798008267
579	0.5800616298	1.797744455
580	0.5800045652	1.797502042
581	0.5800616298	1.797078627
582	0.5801472267	1.796728549
583	0.5802328236	1.796454594
584	0.5802613559	1.796121012
585	0.580375485	1.795646328
586	0.5804896142	1.795287668
587	0.5805466788	1.794971026
588	0.5805181465	1.794613592
589	0.5805466788	1.794280567
590	0.5806322757	1.794000928
591	0.5807464049	1.793583866
592	0.5807464049	1.793121554
593	0.5808034695	1.792832887
594	0.5810602602	1.792521038
595	0.5811458571	1.792180211
596	0.5811743894	1.791917736
597	0.5811458571	1.791474928
598	0.5811458571	1.791199413
599	0.5812029217	1.790699652
600	0.5812599863	1.790545399
601	0.581231454	1.790266206
602	0.581231454	1.789938419
603	0.5812029217	1.789579648
604	0.5812029217	1.789254759
605	0.581231454	1.789042104
606	0.5813170509	1.78869927
607	0.5814026478	1.788255794
608	0.5814597124	1.787993653
609	0.5814882447	1.787741098
610	0.5816309062	1.787310216
611	0.5818591646	1.786933723
612	0.5818306323	1.786644388
613	0.5819447615	1.786255747
614	0.5819447615	1.785799787
615	0.5821444876	1.785428421
616	0.5822015522	1.785218887
617	0.5823442136	1.784843175
618	0.5823156814	1.7845807
619	0.5823442136	1.784425667
620	0.5824298105	1.784163527
621	0.582572472	1.783905621
622	0.5826010043	1.783721722
623	0.5826866012	1.783340771
624	0.5827436658	1.78298512
625	0.5828007304	1.782714955
626	0.5828863273	1.782431861
627	0.5829148596	1.782155009
628	0.5829719242	1.781859878
629	0.5830004565	1.781375386
630	0.5830004565	1.780922324
631	0.5832287149	1.780392025
632	0.5832572472	1.780005167
633	0.5832572472	1.779635585
634	0.5832572472	1.779549988
635	0.5833143118	1.779160009
636	0.5835711025	1.778795999
637	0.5836281671	1.778699926
638	0.5836281671	1.778448596
639	0.5836566994	1.778259458
640	0.5837422963	1.778181886
641	0.5837993609	1.777864799
642	0.5838278932	1.777610349
643	0.5839420224	1.777459662
644	0.5839420224	1.777108359
645	0.5840561516	1.776736101
646	0.5841132162	1.77637733
647	0.5842558777	1.776004069
648	0.5843985391	1.775713954
649	0.5845126683	1.775378588
650	0.5845412006	1.775065401
651	0.5845982652	1.774870468
652	0.5845412006	1.774523956
653	0.5847979913	1.774262039
654	0.5848265236	1.774091291
655	0.5849121205	1.77378624
656	0.5849691851	1.773430701
657	0.5849406528	1.773258059
658	0.585054782	1.773093775
659	0.5850833143	1.772870309
660	0.5851118466	1.772558349
661	0.5851689112	1.772250289
662	0.5852259758	1.772006204
